LECROYWR6200A,18548,Waveform
Segments,1,SegmentSize,803
Segment,TrigTime,TimeSinceSegment1
#1,20-Nov-2018 10:38:47,0                 
Time,Ampl
1.46973e+009,-29.6168
1.47217e+009,-29.4304
1.47461e+009,-29.4328
1.47705e+009,-29.087
1.47949e+009,-29.8718
1.48193e+009,-29.4304
1.48438e+009,-29.4917
1.48682e+009,-29.4426
1.48926e+009,-29.6879
1.4917e+009,-29.2293
1.49414e+009,-29.4402
1.49658e+009,-29.7296
1.49902e+009,-29.5064
1.50146e+009,-29.4524
1.50391e+009,-28.8565
1.50635e+009,-29.3813
1.50879e+009,-28.9717
1.51123e+009,-29.8424
1.51367e+009,-29.4304
1.51611e+009,-29.1655
1.51855e+009,-29.396
1.521e+009,-28.7927
1.52344e+009,-29.423
1.52588e+009,-29.9601
1.52832e+009,-29.8081
1.53076e+009,-29.7664
1.5332e+009,-29.2538
1.53564e+009,-29.7566
1.53809e+009,-29.5726
1.54053e+009,-30.2348
1.54297e+009,-29.6364
1.54541e+009,-29.5554
1.54785e+009,-29.6413
1.55029e+009,-30.0827
1.55273e+009,-30.4948
1.55518e+009,-30.3574
1.55762e+009,-29.5628
1.56006e+009,-29.8252
1.5625e+009,-29.9846
1.56494e+009,-30.2814
1.56738e+009,-30.0386
1.56982e+009,-29.8547
1.57227e+009,-29.6903
1.57471e+009,-29.8424
1.57715e+009,-29.9601
1.57959e+009,-29.8301
1.58203e+009,-29.9454
1.58447e+009,-30.1833
1.58691e+009,-30.328
1.58936e+009,-30.2544
1.5918e+009,-29.8988
1.59424e+009,-30.0018
1.59668e+009,-30.2054
1.59912e+009,-29.9626
1.60156e+009,-29.7026
1.604e+009,-30.2176
1.60645e+009,-30.1833
1.60889e+009,-30.1637
1.61133e+009,-30.0852
1.61377e+009,-30.1048
1.61621e+009,-29.8596
1.61865e+009,-29.7149
1.62109e+009,-30.1048
1.62354e+009,-30.1612
1.62598e+009,-29.9282
1.62842e+009,-30.4923
1.63086e+009,-30.3623
1.6333e+009,-30.1367
1.63574e+009,-30.2912
1.63818e+009,-30.0116
1.64063e+009,-30.3599
1.64307e+009,-30.3697
1.64551e+009,-30.149
1.64795e+009,-30.3231
1.65039e+009,-30.2372
1.65283e+009,-30.5463
1.65527e+009,-30.4997
1.65771e+009,-29.8988
1.66016e+009,-30.713
1.6626e+009,-30.1318
1.66504e+009,-27.6179
1.66748e+009,-28.3488
1.66992e+009,-29.9135
1.67236e+009,-29.7198
1.6748e+009,-30.2961
1.67725e+009,-30.3231
1.67969e+009,-30.3918
1.68213e+009,-30.2593
1.68457e+009,-30.2495
1.68701e+009,-30.2397
1.68945e+009,-30.404
1.69189e+009,-30.5242
1.69434e+009,-30.4997
1.69678e+009,-30.377
1.69922e+009,-30.0778
1.70166e+009,-30.5536
1.7041e+009,-30.3672
1.70654e+009,-30.1808
1.70898e+009,-30.4482
1.71143e+009,-30.6297
1.71387e+009,-30.3182
1.71631e+009,-30.5806
1.71875e+009,-30.458
1.72119e+009,-30.534
1.72363e+009,-30.355
1.72607e+009,-30.3427
1.72852e+009,-30.5659
1.73096e+009,-30.5683
1.7334e+009,-30.48
1.73584e+009,-30.507
1.73828e+009,-30.5316
1.74072e+009,-30.6542
1.74316e+009,-30.5683
1.74561e+009,-30.6395
1.74805e+009,-30.5512
1.75049e+009,-30.5634
1.75293e+009,-30.4874
1.75537e+009,-30.5978
1.75781e+009,-30.6051
1.76025e+009,-30.5046
1.7627e+009,-30.5782
1.76514e+009,-30.4825
1.76758e+009,-30.8185
1.77002e+009,-30.5855
1.77246e+009,-30.5095
1.7749e+009,-30.637
1.77734e+009,-30.5929
1.77979e+009,-30.6959
1.78223e+009,-30.5953
1.78467e+009,-30.7327
1.78711e+009,-30.7964
1.78955e+009,-30.637
1.79199e+009,-30.8479
1.79443e+009,-30.7032
1.79688e+009,-30.74
1.79932e+009,-30.61
1.80176e+009,-30.6738
1.8042e+009,-30.6885
1.80664e+009,-30.9141
1.80908e+009,-30.8111
1.81152e+009,-30.6346
1.81396e+009,-30.9607
1.81641e+009,-30.9706
1.81885e+009,-30.7523
1.82129e+009,-30.7989
1.82373e+009,-30.7842
1.82617e+009,-30.7694
1.82861e+009,-30.821
1.83105e+009,-30.713
1.8335e+009,-30.9411
1.83594e+009,-30.9289
1.83838e+009,-30.74
1.84082e+009,-30.9264
1.84326e+009,-30.8725
1.8457e+009,-30.7768
1.84814e+009,-30.87
1.85059e+009,-30.821
1.85303e+009,-30.7596
1.85547e+009,-30.7376
1.85791e+009,-30.9264
1.86035e+009,-30.8945
1.86279e+009,-30.8332
1.86523e+009,-30.9166
1.86768e+009,-30.8725
1.87012e+009,-30.9338
1.87256e+009,-30.8847
1.875e+009,-30.8994
1.87744e+009,-30.9338
1.87988e+009,-30.9117
1.88232e+009,-30.8651
1.88477e+009,-30.9804
1.88721e+009,-30.9706
1.88965e+009,-30.9951
1.89209e+009,-31.0319
1.89453e+009,-31.0245
1.89697e+009,-30.9779
1.89941e+009,-31.1202
1.90186e+009,-30.9289
1.9043e+009,-30.9877
1.90674e+009,-30.9534
1.90918e+009,-31.0515
1.91162e+009,-31.0172
1.91406e+009,-30.9926
1.9165e+009,-30.9289
1.91895e+009,-31.0196
1.92139e+009,-31.1079
1.92383e+009,-31.0932
1.92627e+009,-31.0122
1.92871e+009,-31.0073
1.93115e+009,-31.0932
1.93359e+009,-31.0368
1.93604e+009,-31.179
1.93848e+009,-31.076
1.94092e+009,-31.1054
1.94336e+009,-30.9632
1.9458e+009,-31.0858
1.94824e+009,-31.1324
1.95068e+009,-31.0392
1.95313e+009,-31.1422
1.95557e+009,-31.1128
1.95801e+009,-31.0539
